vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A009,Asset 9,CRM,Auth,5.1,0.86,0,1,2,1,2,0,5.4,2553.07,3.1,0.88,0.2,0.63,0.27,128,Low,36,15,,
V0002,CVE-2025-1002,P002,Security Patch 2,A012,Asset 12,DataLake,Auth,5.2,0.18,0,0,4,2,2,1,1.6,625.48,0.6,0.58,0.27,0.25,0.23,356,Medium,18,37,P001,
V0003,CVE-2025-1003,P003,Security Patch 3,A002,Asset 2,DataLake,Payment,9.0,0.57,0,1,5,1,4,0,5.3,3388.06,2.4,0.64,0.03,0.53,0.38,67,High,44,13,P001,
V0004,CVE-2025-1004,P004,Security Patch 4,A001,Asset 1,DataLake,Gateway,4.9,0.34,1,0,4,1,3,0,1.1,1158.02,4.7,0.6,0.29,0.49,0.68,304,Low,26,43,,
V0005,CVE-2025-1005,P005,Security Patch 5,A015,Asset 15,ERP,Gateway,4.2,0.78,0,1,3,4,4,0,2.1,5030.73,4.5,0.89,0.12,0.47,0.61,105,Critical,38,33,P002,
V0006,CVE-2025-1006,P006,Security Patch 6,A010,Asset 10,Endpoints,Gateway,6.1,0.65,1,1,1,4,2,0,3.5,402.34,1.1,0.79,0.19,0.3,0.2,191,Low,27,40,P001,
V0007,CVE-2025-1007,P007,Security Patch 7,A007,Asset 7,ERP,Gateway,8.2,0.66,0,1,5,4,5,0,2.1,4468.4,2.4,0.96,0.34,0.61,0.59,107,Low,19,1,,
V0008,CVE-2025-1008,P008,Security Patch 8,A011,Asset 11,DataLake,Web,7.5,0.58,0,1,1,2,2,0,6.1,3313.0,4.2,0.69,0.19,0.42,0.3,307,Critical,19,51,,P002
V0009,CVE-2025-1009,P009,Security Patch 9,A007,Asset 7,ERP,Database,9.3,0.39,1,0,2,3,1,1,6.3,1978.59,3.3,0.66,0.17,0.33,0.71,203,Low,34,12,P003,
V0010,CVE-2025-1010,P010,Security Patch 10,A004,Asset 4,Cloud,Gateway,8.5,0.27,1,1,3,4,2,1,4.3,495.55,2.9,0.59,0.1,0.43,0.71,325,High,37,0,,
V0011,CVE-2025-1011,P011,Security Patch 11,A013,Asset 13,Cloud,API,8.1,0.34,1,0,5,2,4,0,2.8,4047.67,1.7,0.95,0.22,0.12,0.24,273,Medium,24,29,P007,P001
V0012,CVE-2025-1012,P012,Security Patch 12,A005,Asset 5,CRM,Web,8.3,0.34,1,0,2,3,4,0,5.9,496.43,2.2,0.91,0.09,0.63,0.06,387,High,39,59,,
V0013,CVE-2025-1013,P013,Security Patch 13,A005,Asset 5,ERP,Auth,7.7,0.64,0,0,5,5,2,0,7.1,2804.05,5.6,0.69,0.2,0.22,0.7,21,Low,11,50,,
V0014,CVE-2025-1014,P014,Security Patch 14,A002,Asset 2,Endpoints,Database,4.9,0.9,0,1,3,3,1,0,3.1,744.4,3.9,0.95,0.13,0.41,0.59,135,High,35,24,P002,
V0015,CVE-2025-1015,P015,Security Patch 15,A014,Asset 14,Endpoints,Gateway,5.6,0.34,0,0,2,5,2,0,4.5,1794.73,2.7,0.74,0.11,0.48,0.55,339,Critical,41,26,,
V0016,CVE-2025-1016,P016,Security Patch 16,A008,Asset 8,ERP,API,6.2,0.62,1,0,1,3,5,0,5.1,1709.67,1.2,0.81,0.22,0.48,0.75,25,Medium,20,4,,
V0017,CVE-2025-1017,P017,Security Patch 17,A003,Asset 3,OT,API,9.7,0.31,1,0,5,3,2,0,1.3,3607.01,5.1,0.85,0.27,0.3,0.33,359,Low,30,34,,P016
V0018,CVE-2025-1018,P018,Security Patch 18,A002,Asset 2,ERP,Auth,6.9,0.49,1,0,1,3,5,1,4.5,716.65,5.7,0.88,0.33,0.27,0.63,413,Critical,7,17,,
V0019,CVE-2025-1019,P019,Security Patch 19,A014,Asset 14,OT,Payment,8.0,0.79,1,0,1,5,2,0,1.3,5376.29,1.2,0.77,0.08,0.12,0.46,147,Critical,21,16,P005,
V0020,CVE-2025-1020,P020,Security Patch 20,A003,Asset 3,Cloud,Auth,6.2,0.55,1,0,1,2,3,1,5.3,2819.81,1.1,0.61,0.14,0.28,0.72,350,Critical,44,30,,
V0021,CVE-2025-1021,P021,Security Patch 21,A007,Asset 7,OT,Gateway,9.4,0.34,1,0,1,2,3,0,1.1,4516.79,2.1,0.71,0.07,0.08,0.25,21,Low,25,25,,
V0022,CVE-2025-1022,P022,Security Patch 22,A006,Asset 6,ERP,Database,4.6,0.82,1,0,1,4,1,1,6.9,1186.55,3.7,0.78,0.12,0.32,0.09,415,Medium,25,33,P021,
V0023,CVE-2025-1023,P023,Security Patch 23,A009,Asset 9,DataLake,Payment,4.7,0.49,1,1,5,5,2,1,1.9,5352.81,0.5,0.65,0.41,0.57,0.23,388,Critical,27,20,,
V0024,CVE-2025-1024,P024,Security Patch 24,A010,Asset 10,OT,Web,4.3,0.26,0,0,5,3,4,0,3.7,2479.97,5.8,0.99,0.08,0.51,0.57,306,Low,20,27,,P011
V0025,CVE-2025-1025,P025,Security Patch 25,A011,Asset 11,DataLake,Auth,9.0,0.68,1,1,4,2,3,0,1.9,3225.5,2.5,0.96,0.19,0.16,0.35,294,Medium,41,59,,P001
V0026,CVE-2025-1026,P026,Security Patch 26,A003,Asset 3,DataLake,Database,9.3,0.76,1,0,2,5,2,0,3.8,5310.7,1.2,0.82,0.09,0.34,0.09,343,Critical,37,4,,
V0027,CVE-2025-1027,P027,Security Patch 27,A005,Asset 5,ERP,API,4.2,0.72,0,1,4,4,1,1,5.6,424.39,2.8,0.66,0.31,0.39,0.2,143,High,11,26,,
V0028,CVE-2025-1028,P028,Security Patch 28,A007,Asset 7,CRM,Payment,4.0,0.22,0,0,4,1,3,0,5.5,5089.69,3.7,0.79,0.25,0.45,0.11,381,High,27,5,P008,
V0029,CVE-2025-1029,P029,Security Patch 29,A004,Asset 4,ERP,Web,7.3,0.16,1,0,1,5,5,0,1.9,734.49,4.4,0.73,0.28,0.29,0.1,208,High,28,27,,
V0030,CVE-2025-1030,P030,Security Patch 30,A008,Asset 8,CRM,Gateway,9.3,0.65,0,0,5,1,2,1,7.2,4062.27,0.6,0.82,0.07,0.12,0.21,297,Critical,7,8,,P016
V0031,CVE-2025-1031,P031,Security Patch 31,A007,Asset 7,OT,Web,5.0,0.6,1,0,2,2,3,1,1.0,627.55,5.4,0.86,0.19,0.54,0.7,254,Low,28,49,,
