vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A003,Asset 3,DataLake,API,8.6,0.64,1,0,2,4,5,1,7.3,1428.75,4.9,0.86,0.21,0.07,0.68,296,High,44,23,,
V0002,CVE-2025-1002,P002,Security Patch 2,A004,Asset 4,Cloud,Web,7.0,0.46,1,1,2,2,5,0,5.2,2720.58,5.8,0.92,0.12,0.39,0.72,39,Critical,13,22,P001,
V0003,CVE-2025-1003,P003,Security Patch 3,A007,Asset 7,DataLake,Auth,6.3,0.53,1,0,4,4,2,1,1.1,1383.08,4.3,0.65,0.25,0.41,0.73,308,Medium,21,46,,
V0004,CVE-2025-1004,P004,Security Patch 4,A006,Asset 6,Cloud,Auth,9.4,0.28,0,1,2,1,2,0,6.0,3724.39,4.1,0.7,0.23,0.34,0.72,57,Critical,23,16,P001,
V0005,CVE-2025-1005,P005,Security Patch 5,A002,Asset 2,DataLake,Gateway,5.3,0.87,1,0,5,5,3,1,6.7,3423.07,1.1,0.88,0.07,0.28,0.52,49,Medium,35,3,P003,
V0006,CVE-2025-1006,P006,Security Patch 6,A004,Asset 4,OT,API,5.1,0.97,0,0,1,4,4,1,1.6,3437.62,2.7,0.75,0.06,0.3,0.09,91,Critical,10,22,,
V0007,CVE-2025-1007,P007,Security Patch 7,A001,Asset 1,OT,Database,4.2,0.69,1,1,2,3,5,1,3.0,3871.92,2.0,0.73,0.14,0.47,0.1,344,Medium,42,59,,
V0008,CVE-2025-1008,P008,Security Patch 8,A007,Asset 7,CRM,API,9.4,0.91,0,0,1,1,3,1,6.3,3308.94,2.1,0.7,0.16,0.45,0.59,351,Low,35,55,,
V0009,CVE-2025-1009,P009,Security Patch 9,A005,Asset 5,CRM,Gateway,8.3,0.93,1,1,1,2,2,0,6.3,1480.36,1.4,0.78,0.15,0.56,0.38,5,Low,19,25,,
V0010,CVE-2025-1010,P010,Security Patch 10,A006,Asset 6,CRM,Database,5.4,0.82,1,1,2,1,3,0,2.1,4358.03,1.0,0.92,0.31,0.1,0.08,156,Low,15,29,P002,
V0011,CVE-2025-1011,P011,Security Patch 11,A002,Asset 2,ERP,Database,5.7,0.96,1,0,1,3,3,0,3.9,2602.04,2.5,0.65,0.29,0.58,0.38,415,Medium,41,43,,
V0012,CVE-2025-1012,P012,Security Patch 12,A004,Asset 4,DataLake,Payment,7.2,0.44,1,0,3,2,5,1,6.2,1094.69,4.5,0.82,0.41,0.24,0.38,331,Medium,24,44,P003,
V0013,CVE-2025-1013,P013,Security Patch 13,A006,Asset 6,CRM,Payment,6.1,0.44,0,1,3,5,5,1,6.2,593.11,3.6,0.79,0.37,0.45,0.74,39,Critical,32,13,P012,
V0014,CVE-2025-1014,P014,Security Patch 14,A006,Asset 6,Endpoints,Gateway,5.1,0.47,1,1,1,5,3,0,2.5,2381.99,4.8,0.66,0.14,0.22,0.22,55,Low,19,57,,P005
V0015,CVE-2025-1015,P015,Security Patch 15,A001,Asset 1,DataLake,Payment,4.6,0.17,1,1,1,4,4,0,3.0,5122.01,4.7,0.99,0.33,0.36,0.09,166,Low,32,19,,
V0016,CVE-2025-1016,P016,Security Patch 16,A002,Asset 2,Cloud,Auth,6.3,0.22,0,0,2,5,2,1,5.3,942.51,3.9,0.72,0.3,0.43,0.27,360,Medium,12,23,P009,P010
V0017,CVE-2025-1017,P017,Security Patch 17,A007,Asset 7,CRM,Web,5.4,0.56,0,0,3,1,2,1,6.4,2495.01,3.9,0.81,0.05,0.34,0.35,37,Low,23,32,P007,
V0018,CVE-2025-1018,P018,Security Patch 18,A001,Asset 1,OT,Payment,8.2,0.55,1,0,3,2,1,0,2.7,5152.09,3.4,0.9,0.22,0.18,0.75,228,High,37,27,P016,
V0019,CVE-2025-1019,P019,Security Patch 19,A005,Asset 5,OT,Auth,6.0,0.82,1,0,1,3,4,1,3.3,444.39,5.0,0.61,0.19,0.1,0.27,155,Critical,21,55,,
V0020,CVE-2025-1020,P020,Security Patch 20,A003,Asset 3,OT,Web,9.8,0.27,1,0,4,4,5,1,0.6,923.65,5.6,0.76,0.19,0.21,0.19,393,Medium,9,23,P019,
V0021,CVE-2025-1021,P021,Security Patch 21,A007,Asset 7,Cloud,Auth,5.4,0.19,0,0,1,5,4,0,0.9,3981.01,5.4,0.69,0.18,0.64,0.48,326,Low,18,10,P016,
V0022,CVE-2025-1022,P022,Security Patch 22,A008,Asset 8,ERP,Auth,7.3,0.32,1,0,2,1,2,1,0.7,1768.82,1.0,0.93,0.33,0.39,0.56,288,High,5,26,P010,
V0023,CVE-2025-1023,P023,Security Patch 23,A002,Asset 2,Cloud,Database,6.0,0.36,0,0,5,5,2,0,1.0,2091.53,2.7,0.61,0.39,0.3,0.1,44,Medium,32,11,,
V0024,CVE-2025-1024,P024,Security Patch 24,A003,Asset 3,CRM,Gateway,7.4,0.68,0,0,2,2,2,0,2.8,5155.61,5.9,0.99,0.3,0.55,0.68,299,Medium,28,28,,
V0025,CVE-2025-1025,P025,Security Patch 25,A008,Asset 8,OT,Database,5.0,0.96,1,0,2,1,2,0,6.4,5096.33,4.8,0.83,0.3,0.56,0.16,348,High,14,22,,
