vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A060,Asset 60,DataLake,Database,8.2,0.57,1,0,3,5,1,0,1.2,2589.82,3.4,0.69,0.05,0.43,0.39,395,High,23,26,,
V0002,CVE-2025-1002,P002,Security Patch 2,A028,Asset 28,Endpoints,Auth,8.9,0.85,1,0,2,1,2,0,4.5,4347.49,4.4,0.97,0.15,0.18,0.09,332,Critical,6,19,,
V0003,CVE-2025-1003,P003,Security Patch 3,A035,Asset 35,Cloud,Gateway,5.7,0.75,0,0,5,1,5,0,4.9,1044.54,3.3,0.97,0.3,0.54,0.68,126,Critical,36,14,P001,
V0004,CVE-2025-1004,P004,Security Patch 4,A095,Asset 95,Endpoints,Web,8.3,0.27,0,0,4,5,4,1,4.5,2237.3,4.2,0.73,0.06,0.21,0.51,193,Critical,25,25,,
V0005,CVE-2025-1005,P005,Security Patch 5,A043,Asset 43,CRM,Gateway,6.5,0.17,1,0,2,3,1,0,2.1,4663.37,2.6,0.68,0.04,0.22,0.12,338,High,27,36,P001,
V0006,CVE-2025-1006,P006,Security Patch 6,A087,Asset 87,DataLake,API,8.9,0.25,1,1,2,5,2,1,1.1,1371.46,0.9,0.66,0.37,0.25,0.71,356,Low,19,26,P002,
V0007,CVE-2025-1007,P007,Security Patch 7,A008,Asset 8,OT,Gateway,9.8,0.97,1,1,4,1,1,0,2.4,2463.43,5.3,0.76,0.18,0.47,0.25,394,Medium,28,56,,
V0008,CVE-2025-1008,P008,Security Patch 8,A088,Asset 88,CRM,Web,7.0,0.53,0,0,1,1,1,1,3.7,571.11,5.1,0.69,0.09,0.62,0.62,373,Medium,34,34,,
V0009,CVE-2025-1009,P009,Security Patch 9,A025,Asset 25,ERP,Auth,9.9,0.82,1,1,4,1,2,0,1.1,2498.3,1.1,0.86,0.1,0.23,0.22,121,Low,18,10,,
V0010,CVE-2025-1010,P010,Security Patch 10,A092,Asset 92,Cloud,Auth,5.8,0.87,0,0,4,5,2,0,1.0,3188.79,5.8,0.78,0.34,0.31,0.08,416,Critical,21,6,P007,
V0011,CVE-2025-1011,P011,Security Patch 11,A075,Asset 75,OT,Gateway,5.7,0.95,1,1,3,1,5,1,4.3,3115.23,0.8,0.65,0.26,0.05,0.54,334,High,10,10,,
V0012,CVE-2025-1012,P012,Security Patch 12,A013,Asset 13,CRM,Payment,6.2,0.55,1,1,1,1,1,0,2.1,4557.72,4.9,0.8,0.4,0.26,0.51,103,Critical,23,2,P011,
V0013,CVE-2025-1013,P013,Security Patch 13,A032,Asset 32,CRM,Payment,6.7,0.6,1,0,4,4,1,1,2.4,1538.57,5.7,0.9,0.12,0.38,0.7,77,Critical,8,10,,
V0014,CVE-2025-1014,P014,Security Patch 14,A037,Asset 37,Endpoints,Payment,6.1,0.9,0,1,3,5,1,0,1.8,2541.96,4.7,0.62,0.07,0.23,0.28,171,High,13,34,,
V0015,CVE-2025-1015,P015,Security Patch 15,A039,Asset 39,Endpoints,API,9.6,0.48,1,1,5,3,5,1,1.9,5487.15,1.6,0.72,0.35,0.12,0.45,3,High,9,58,,
V0016,CVE-2025-1016,P016,Security Patch 16,A036,Asset 36,OT,Auth,7.3,0.35,1,0,1,1,5,0,0.6,4917.77,1.3,0.62,0.23,0.31,0.21,323,Critical,29,34,,
V0017,CVE-2025-1017,P017,Security Patch 17,A010,Asset 10,Endpoints,Auth,6.0,0.22,0,0,5,2,5,1,1.8,4181.25,3.7,0.91,0.19,0.62,0.17,247,Medium,26,6,,P012
V0018,CVE-2025-1018,P018,Security Patch 18,A078,Asset 78,ERP,Database,8.4,0.87,0,0,3,4,4,1,2.5,2303.04,4.8,0.78,0.02,0.07,0.59,290,Low,28,52,,
V0019,CVE-2025-1019,P019,Security Patch 19,A086,Asset 86,Cloud,Payment,6.3,0.77,1,0,1,2,4,0,0.5,1903.89,5.0,0.98,0.37,0.26,0.3,88,Low,37,14,,
V0020,CVE-2025-1020,P020,Security Patch 20,A071,Asset 71,OT,Auth,8.2,0.44,1,1,5,3,4,0,3.1,3355.29,3.5,0.79,0.16,0.63,0.46,335,Low,33,52,,
V0021,CVE-2025-1021,P021,Security Patch 21,A012,Asset 12,Endpoints,Gateway,4.0,0.16,0,1,1,1,2,1,2.6,3274.27,1.6,0.73,0.11,0.32,0.09,406,High,42,5,,
V0022,CVE-2025-1022,P022,Security Patch 22,A056,Asset 56,ERP,Gateway,4.9,0.91,0,0,1,2,1,0,3.8,1848.31,4.5,0.59,0.34,0.55,0.11,97,Medium,43,35,,P018
V0023,CVE-2025-1023,P023,Security Patch 23,A065,Asset 65,ERP,API,5.7,0.84,1,0,1,4,4,0,4.3,5356.04,0.6,0.76,0.11,0.14,0.19,161,Medium,23,4,,
V0024,CVE-2025-1024,P024,Security Patch 24,A015,Asset 15,Endpoints,Payment,9.5,0.91,1,1,1,4,3,1,4.4,3992.19,0.9,0.85,0.2,0.34,0.16,336,Low,27,54,,
