vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A007,Asset 7,Cloud,Gateway,4.6,0.57,1,1,5,4,5,0,4.8,1748.15,3.6,0.88,0.1,0.21,0.28,106,High,36,27,,
V0002,CVE-2025-1002,P002,Security Patch 2,A010,Asset 10,Cloud,Gateway,8.3,0.65,0,0,4,3,2,1,5.6,2229.22,2.6,0.84,0.16,0.46,0.48,341,High,29,38,,
V0003,CVE-2025-1003,P003,Security Patch 3,A003,Asset 3,Cloud,Payment,5.5,0.61,1,0,2,3,5,0,2.7,1068.88,2.0,0.86,0.25,0.38,0.61,291,Low,39,53,,
V0004,CVE-2025-1004,P004,Security Patch 4,A004,Asset 4,Endpoints,Database,9.4,0.66,0,1,2,2,1,0,1.2,4118.1,0.6,0.69,0.13,0.56,0.27,207,Low,42,1,,
V0005,CVE-2025-1005,P005,Security Patch 5,A022,Asset 22,Cloud,Auth,4.5,0.37,0,1,4,1,4,0,4.9,1348.05,3.7,0.68,0.28,0.07,0.56,416,Medium,40,21,P003,
V0006,CVE-2025-1006,P006,Security Patch 6,A025,Asset 25,DataLake,Web,8.4,0.93,1,0,5,2,4,0,4.3,3823.75,5.4,0.96,0.18,0.06,0.36,262,Critical,39,23,P005,P002
V0007,CVE-2025-1007,P007,Security Patch 7,A001,Asset 1,ERP,API,6.7,0.78,0,1,5,1,3,0,5.3,3659.23,2.8,0.98,0.4,0.18,0.29,216,Medium,26,36,,
V0008,CVE-2025-1008,P008,Security Patch 8,A001,Asset 1,Endpoints,Database,5.2,0.97,1,0,5,2,4,0,3.1,2617.65,5.0,0.74,0.12,0.16,0.11,382,Medium,5,5,,
V0009,CVE-2025-1009,P009,Security Patch 9,A015,Asset 15,CRM,Auth,8.6,0.39,1,0,4,2,4,0,3.2,678.93,5.3,0.81,0.27,0.41,0.07,173,Critical,14,39,,
V0010,CVE-2025-1010,P010,Security Patch 10,A009,Asset 9,Endpoints,Payment,7.7,0.37,0,1,3,2,4,0,5.2,1535.19,3.3,0.59,0.42,0.21,0.08,385,Medium,22,34,P002,
V0011,CVE-2025-1011,P011,Security Patch 11,A005,Asset 5,OT,Payment,8.4,0.93,1,0,4,5,3,1,6.5,5078.32,1.2,0.65,0.41,0.58,0.59,216,High,18,22,,
V0012,CVE-2025-1012,P012,Security Patch 12,A022,Asset 22,Cloud,Database,7.0,0.52,1,0,5,4,3,0,7.3,4772.5,0.6,0.61,0.25,0.21,0.35,25,Low,12,47,,
V0013,CVE-2025-1013,P013,Security Patch 13,A011,Asset 11,Endpoints,API,6.1,0.36,1,0,1,5,1,0,2.6,2591.72,2.0,0.74,0.35,0.55,0.61,130,Critical,8,11,,
V0014,CVE-2025-1014,P014,Security Patch 14,A015,Asset 15,ERP,Payment,6.8,0.59,1,0,4,4,1,0,4.1,2126.34,4.4,0.88,0.24,0.39,0.55,370,Critical,20,38,,
V0015,CVE-2025-1015,P015,Security Patch 15,A006,Asset 6,DataLake,API,5.7,0.73,0,0,3,4,4,0,5.3,4802.53,1.8,0.92,0.3,0.23,0.58,108,Critical,9,15,P007,
V0016,CVE-2025-1016,P016,Security Patch 16,A010,Asset 10,CRM,Gateway,9.0,0.38,0,0,1,1,4,1,0.5,2426.51,2.6,0.67,0.36,0.51,0.53,252,High,34,38,,P001
V0017,CVE-2025-1017,P017,Security Patch 17,A006,Asset 6,Cloud,Web,6.0,0.18,1,0,3,1,4,1,1.8,3811.86,2.9,0.95,0.11,0.08,0.74,1,Medium,27,35,P008,
V0018,CVE-2025-1018,P018,Security Patch 18,A017,Asset 17,CRM,Web,6.3,0.45,1,0,4,5,3,1,3.9,4323.04,1.9,0.67,0.18,0.31,0.66,203,Medium,31,5,,
V0019,CVE-2025-1019,P019,Security Patch 19,A021,Asset 21,CRM,Database,4.6,0.27,1,1,5,4,1,1,0.7,4380.88,5.2,0.75,0.18,0.54,0.06,377,Medium,39,48,P010,
V0020,CVE-2025-1020,P020,Security Patch 20,A008,Asset 8,ERP,API,6.1,0.6,0,1,5,5,5,0,0.9,5393.69,3.9,0.7,0.33,0.32,0.57,40,Low,24,29,,
