vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A001,Asset 1,DataLake,Gateway,4.7,0.44,1,1,4,1,3,0,3.6,3495.72,3.4,0.81,0.18,0.12,0.75,403,Low,6,20,,
V0002,CVE-2025-1002,P002,Security Patch 2,A002,Asset 2,Endpoints,API,4.4,0.65,1,0,5,4,2,0,5.0,4915.97,3.4,0.7,0.35,0.26,0.31,419,Low,21,13,P001,
V0003,CVE-2025-1003,P003,Security Patch 3,A062,Asset 62,Cloud,Web,4.7,0.36,0,1,1,3,3,0,1.4,5171.73,5.6,0.63,0.39,0.31,0.12,187,High,37,7,P002,
V0004,CVE-2025-1004,P004,Security Patch 4,A025,Asset 25,DataLake,Auth,8.1,0.68,1,0,1,2,1,1,1.2,2496.96,0.7,0.77,0.17,0.54,0.7,145,High,31,4,P003,P003
V0005,CVE-2025-1005,P005,Security Patch 5,A037,Asset 37,CRM,API,7.6,0.4,0,1,1,4,3,0,4.8,5169.57,6.0,0.71,0.09,0.43,0.44,123,High,7,43,P003,
V0006,CVE-2025-1006,P006,Security Patch 6,A027,Asset 27,DataLake,Database,9.2,0.77,1,0,5,4,2,0,5.1,4692.72,1.5,0.79,0.04,0.43,0.36,404,Low,11,13,P001,
V0007,CVE-2025-1007,P007,Security Patch 7,A037,Asset 37,CRM,Database,5.6,0.63,0,0,3,1,4,0,1.9,3433.29,5.3,0.77,0.23,0.55,0.69,87,Critical,39,49,,
V0008,CVE-2025-1008,P008,Security Patch 8,A004,Asset 4,CRM,Web,9.0,0.17,0,1,3,1,1,1,3.6,1651.12,3.5,0.78,0.28,0.45,0.72,116,Critical,18,27,P004,
V0009,CVE-2025-1009,P009,Security Patch 9,A046,Asset 46,DataLake,API,5.7,0.53,1,0,3,4,1,1,2.5,5086.53,0.7,0.81,0.34,0.58,0.41,254,Critical,36,36,,
V0010,CVE-2025-1010,P010,Security Patch 10,A001,Asset 1,Cloud,Payment,8.2,0.35,0,0,3,5,1,1,7.2,4748.84,3.5,0.6,0.24,0.44,0.68,234,Critical,16,8,,
V0011,CVE-2025-1011,P011,Security Patch 11,A036,Asset 36,OT,Database,6.9,0.42,1,0,2,2,4,1,2.4,3579.54,1.0,0.99,0.26,0.19,0.1,319,Critical,35,52,,
V0012,CVE-2025-1012,P012,Security Patch 12,A006,Asset 6,CRM,Web,6.5,0.42,0,1,5,5,3,0,4.3,686.66,2.6,0.68,0.42,0.21,0.63,319,Critical,28,27,,P008
V0013,CVE-2025-1013,P013,Security Patch 13,A042,Asset 42,DataLake,Auth,4.5,0.71,1,1,1,3,4,0,7.4,4346.57,3.0,0.78,0.35,0.18,0.22,102,Low,21,26,,
V0014,CVE-2025-1014,P014,Security Patch 14,A015,Asset 15,DataLake,Auth,8.3,0.26,1,0,3,5,2,1,2.7,954.18,1.7,0.81,0.36,0.45,0.68,247,Critical,29,6,P010,
V0015,CVE-2025-1015,P015,Security Patch 15,A045,Asset 45,ERP,API,8.7,0.21,0,0,2,5,2,1,6.8,1726.94,3.2,0.66,0.39,0.61,0.55,358,Medium,26,47,,
V0016,CVE-2025-1016,P016,Security Patch 16,A024,Asset 24,OT,Auth,5.9,0.82,0,0,4,4,3,0,5.5,4738.74,4.3,0.66,0.4,0.3,0.27,157,Critical,44,47,P011,
V0017,CVE-2025-1017,P017,Security Patch 17,A015,Asset 15,OT,Payment,4.6,0.29,1,0,4,5,4,1,6.0,4861.04,5.9,0.84,0.1,0.35,0.55,122,Low,10,14,P007,
V0018,CVE-2025-1018,P018,Security Patch 18,A006,Asset 6,Endpoints,Database,9.4,0.85,0,0,4,5,1,1,3.1,1249.95,2.5,0.9,0.19,0.31,0.45,174,Critical,35,16,P012,
V0019,CVE-2025-1019,P019,Security Patch 19,A053,Asset 53,DataLake,Web,8.3,0.73,0,1,1,1,3,1,5.6,1888.74,4.1,0.73,0.22,0.59,0.57,248,Low,30,10,,
V0020,CVE-2025-1020,P020,Security Patch 20,A045,Asset 45,Endpoints,Database,5.6,0.48,0,1,4,4,5,1,4.7,452.9,1.2,0.61,0.16,0.34,0.47,255,Critical,44,26,,P008
V0021,CVE-2025-1021,P021,Security Patch 21,A022,Asset 22,ERP,Gateway,9.4,0.33,0,0,5,3,1,1,5.9,4675.27,4.4,0.77,0.17,0.14,0.08,175,Medium,5,56,P007,P001
V0022,CVE-2025-1022,P022,Security Patch 22,A047,Asset 47,CRM,Database,7.9,0.36,1,0,2,2,3,1,6.7,1455.97,0.6,0.59,0.3,0.21,0.24,212,Critical,23,23,,
V0023,CVE-2025-1023,P023,Security Patch 23,A027,Asset 27,Endpoints,Database,4.9,0.37,0,1,2,2,2,1,4.8,1375.79,2.9,0.76,0.3,0.46,0.67,123,High,43,49,,
V0024,CVE-2025-1024,P024,Security Patch 24,A005,Asset 5,Cloud,Web,6.0,0.16,0,0,2,1,3,1,2.6,2792.22,1.5,0.59,0.37,0.25,0.52,322,Critical,15,37,,
V0025,CVE-2025-1025,P025,Security Patch 25,A042,Asset 42,DataLake,API,7.3,0.83,1,0,1,5,5,1,2.5,2442.27,4.5,0.77,0.05,0.22,0.25,409,Medium,30,28,,
V0026,CVE-2025-1026,P026,Security Patch 26,A052,Asset 52,Endpoints,Web,5.8,0.4,0,1,4,2,2,0,7.3,1247.82,4.0,0.98,0.35,0.27,0.07,230,High,12,43,P025,
V0027,CVE-2025-1027,P027,Security Patch 27,A033,Asset 33,OT,Auth,4.0,0.95,1,1,1,3,2,0,5.9,906.87,3.7,0.82,0.14,0.1,0.48,418,Critical,31,57,,
V0028,CVE-2025-1028,P028,Security Patch 28,A009,Asset 9,Endpoints,API,6.8,0.32,1,0,1,1,1,1,7.1,3430.33,5.6,0.91,0.25,0.33,0.61,337,High,41,57,,
V0029,CVE-2025-1029,P029,Security Patch 29,A013,Asset 13,CRM,API,8.3,0.69,1,0,5,1,2,1,2.5,4722.23,3.0,0.72,0.41,0.33,0.35,337,High,27,20,P018,
V0030,CVE-2025-1030,P030,Security Patch 30,A031,Asset 31,CRM,API,6.1,0.16,1,0,3,1,3,0,1.7,1122.31,1.4,0.62,0.39,0.41,0.56,109,High,41,32,P016,P017
V0031,CVE-2025-1031,P031,Security Patch 31,A062,Asset 62,ERP,Web,5.5,0.79,1,1,5,3,4,1,6.8,943.16,3.5,0.69,0.13,0.28,0.08,403,Critical,12,33,P028,
V0032,CVE-2025-1032,P032,Security Patch 32,A053,Asset 53,OT,Payment,5.8,0.69,1,1,2,2,4,1,1.1,1374.7,1.7,0.69,0.04,0.39,0.49,74,Critical,27,26,,
V0033,CVE-2025-1033,P033,Security Patch 33,A058,Asset 58,Endpoints,API,7.0,0.62,1,0,5,4,1,1,6.6,1350.2,5.2,0.93,0.37,0.13,0.17,292,High,38,54,,
V0034,CVE-2025-1034,P034,Security Patch 34,A062,Asset 62,Endpoints,API,4.9,0.47,0,1,2,5,2,1,0.5,2318.15,3.1,0.67,0.26,0.15,0.35,52,High,40,38,P020,
V0035,CVE-2025-1035,P035,Security Patch 35,A024,Asset 24,OT,Database,6.6,0.8,1,0,3,3,4,0,6.4,4959.04,1.1,0.75,0.18,0.17,0.64,418,Critical,13,10,,
V0036,CVE-2025-1036,P036,Security Patch 36,A012,Asset 12,Cloud,Auth,6.6,0.55,0,0,5,2,2,0,6.2,4762.35,4.0,0.79,0.2,0.43,0.13,21,Critical,25,3,P008,
V0037,CVE-2025-1037,P037,Security Patch 37,A026,Asset 26,ERP,Payment,6.3,0.24,0,0,5,1,2,1,3.9,625.19,1.6,0.91,0.11,0.39,0.7,171,Medium,22,54,P012,
V0038,CVE-2025-1038,P038,Security Patch 38,A058,Asset 58,Cloud,API,7.0,0.84,1,0,2,2,5,1,5.9,2291.36,3.2,0.98,0.36,0.52,0.57,197,Critical,26,31,P026,
V0039,CVE-2025-1039,P039,Security Patch 39,A020,Asset 20,CRM,Database,4.2,0.89,0,0,3,3,2,1,3.9,1926.96,5.7,0.58,0.04,0.48,0.38,226,Low,44,47,,
V0040,CVE-2025-1040,P040,Security Patch 40,A018,Asset 18,ERP,Payment,5.3,0.79,1,0,5,4,3,0,4.7,4124.4,4.9,0.68,0.29,0.41,0.52,357,Critical,37,21,,
V0041,CVE-2025-1041,P041,Security Patch 41,A005,Asset 5,CRM,Auth,4.1,0.75,1,1,2,1,3,0,1.2,3036.91,5.4,0.83,0.25,0.14,0.12,86,Low,6,16,,
V0042,CVE-2025-1042,P042,Security Patch 42,A035,Asset 35,DataLake,Payment,4.1,0.47,0,1,2,5,3,1,2.8,5334.31,4.4,0.9,0.4,0.52,0.14,12,High,26,24,,
V0043,CVE-2025-1043,P043,Security Patch 43,A029,Asset 29,DataLake,Gateway,7.9,0.56,0,1,3,4,3,1,2.4,580.95,4.5,0.81,0.04,0.31,0.72,303,High,5,42,,P038
V0044,CVE-2025-1044,P044,Security Patch 44,A036,Asset 36,OT,Gateway,9.0,0.41,0,0,5,1,1,1,4.6,3083.95,3.4,0.81,0.13,0.06,0.71,214,High,28,2,,
V0045,CVE-2025-1045,P045,Security Patch 45,A026,Asset 26,Endpoints,Auth,8.8,0.68,1,1,3,5,5,0,4.0,4822.87,5.7,0.88,0.16,0.23,0.21,195,Medium,22,28,P037,
V0046,CVE-2025-1046,P046,Security Patch 46,A011,Asset 11,OT,Payment,4.3,0.3,1,1,3,3,2,0,4.8,987.74,5.3,0.81,0.04,0.35,0.51,236,Medium,38,33,P043,
V0047,CVE-2025-1047,P047,Security Patch 47,A028,Asset 28,DataLake,Auth,4.1,0.39,0,1,2,3,2,0,1.0,5273.99,0.8,0.64,0.17,0.45,0.74,222,Low,39,23,,
V0048,CVE-2025-1048,P048,Security Patch 48,A020,Asset 20,DataLake,Web,8.0,0.49,0,0,2,3,4,1,2.8,2561.91,1.9,0.7,0.02,0.14,0.28,335,High,10,50,,
V0049,CVE-2025-1049,P049,Security Patch 49,A058,Asset 58,OT,Web,6.4,0.98,0,0,5,3,4,0,4.2,1018.66,1.7,0.94,0.36,0.07,0.6,309,Medium,41,39,,
V0050,CVE-2025-1050,P050,Security Patch 50,A057,Asset 57,OT,API,7.4,0.63,1,0,1,3,4,1,5.9,5204.08,3.5,0.77,0.03,0.63,0.55,172,High,21,5,P022,
V0051,CVE-2025-1051,P051,Security Patch 51,A048,Asset 48,DataLake,API,5.3,0.8,1,0,4,5,2,0,1.2,3375.48,2.0,0.99,0.35,0.17,0.13,197,High,30,30,,
V0052,CVE-2025-1052,P052,Security Patch 52,A061,Asset 61,CRM,Payment,4.5,0.48,0,1,2,3,4,1,4.5,3911.68,2.3,0.79,0.15,0.49,0.26,59,Critical,42,2,P031,
V0053,CVE-2025-1053,P053,Security Patch 53,A063,Asset 63,Endpoints,Web,4.5,0.3,1,0,3,3,5,1,2.4,1530.07,2.0,0.85,0.34,0.27,0.55,413,High,26,37,,
V0054,CVE-2025-1054,P054,Security Patch 54,A015,Asset 15,ERP,Gateway,5.8,0.81,1,1,5,2,1,1,0.9,5071.77,4.0,0.76,0.33,0.18,0.73,8,High,20,10,P020,
V0055,CVE-2025-1055,P055,Security Patch 55,A008,Asset 8,Cloud,Gateway,6.7,0.57,1,1,2,1,3,0,4.7,274.39,5.6,0.77,0.29,0.38,0.06,254,Low,44,53,P049,
V0056,CVE-2025-1056,P056,Security Patch 56,A012,Asset 12,CRM,Payment,6.3,0.96,1,0,1,1,5,1,3.3,3979.64,4.1,0.78,0.27,0.34,0.55,193,High,27,22,,P042
V0057,CVE-2025-1057,P057,Security Patch 57,A044,Asset 44,Cloud,Database,9.7,0.45,1,1,4,2,2,1,2.0,4462.18,4.2,0.97,0.07,0.64,0.54,389,Medium,9,42,,
V0058,CVE-2025-1058,P058,Security Patch 58,A047,Asset 47,Cloud,Payment,5.6,0.96,1,0,4,2,5,1,0.5,5321.66,0.9,0.72,0.39,0.57,0.14,119,Medium,39,45,P051,
V0059,CVE-2025-1059,P059,Security Patch 59,A001,Asset 1,DataLake,API,7.1,0.35,1,1,5,2,3,1,6.4,1414.73,6.0,0.79,0.05,0.28,0.73,42,Critical,16,38,P031,
V0060,CVE-2025-1060,P060,Security Patch 60,A041,Asset 41,Cloud,Web,4.2,0.77,1,0,3,4,4,0,5.5,4188.4,2.6,0.92,0.16,0.07,0.18,239,Critical,6,26,,
V0061,CVE-2025-1061,P061,Security Patch 61,A025,Asset 25,ERP,Payment,7.6,0.26,1,0,5,3,3,1,0.9,4596.46,3.5,0.7,0.26,0.13,0.23,175,High,26,3,,
V0062,CVE-2025-1062,P062,Security Patch 62,A030,Asset 30,Cloud,API,7.5,0.87,0,0,3,3,5,1,2.1,2975.71,3.0,0.7,0.03,0.27,0.25,194,Medium,10,56,,
V0063,CVE-2025-1063,P063,Security Patch 63,A046,Asset 46,Endpoints,Web,7.8,0.23,0,0,2,1,1,0,3.7,2219.65,4.8,0.96,0.31,0.22,0.49,306,Low,10,20,,
V0064,CVE-2025-1064,P064,Security Patch 64,A036,Asset 36,DataLake,Payment,5.7,0.18,1,0,1,5,4,1,2.0,3346.98,1.7,0.9,0.29,0.21,0.49,330,Critical,41,40,P039,
V0065,CVE-2025-1065,P065,Security Patch 65,A016,Asset 16,Endpoints,Gateway,8.1,0.41,1,0,3,1,5,1,2.9,4391.52,3.2,0.66,0.02,0.15,0.16,209,High,40,33,,
V0066,CVE-2025-1066,P066,Security Patch 66,A025,Asset 25,DataLake,Auth,8.7,0.21,1,1,4,2,1,0,7.5,1324.8,2.5,0.98,0.42,0.54,0.31,259,Medium,10,19,,
V0067,CVE-2025-1067,P067,Security Patch 67,A018,Asset 18,Cloud,Auth,8.5,0.28,1,0,4,2,1,0,3.3,4128.25,3.0,0.66,0.24,0.32,0.67,403,High,10,39,,
V0068,CVE-2025-1068,P068,Security Patch 68,A064,Asset 64,DataLake,Auth,6.9,0.83,1,0,3,4,5,0,3.6,3088.61,3.1,0.65,0.39,0.08,0.63,318,High,14,26,,
V0069,CVE-2025-1069,P069,Security Patch 69,A029,Asset 29,Cloud,Auth,7.2,0.37,1,1,1,2,3,0,1.6,3707.8,2.3,0.93,0.17,0.1,0.19,357,Critical,10,46,P053,
V0070,CVE-2025-1070,P070,Security Patch 70,A014,Asset 14,Endpoints,Database,5.0,0.67,1,1,2,4,4,0,5.7,2433.8,0.7,0.9,0.37,0.11,0.73,187,Low,43,38,,
V0071,CVE-2025-1071,P071,Security Patch 71,A021,Asset 21,CRM,API,7.3,0.86,0,0,4,1,2,1,4.9,1037.97,5.8,0.86,0.04,0.62,0.21,336,Low,12,7,,
V0072,CVE-2025-1072,P072,Security Patch 72,A016,Asset 16,CRM,API,4.5,0.2,1,1,4,3,2,0,1.7,4752.8,2.0,0.8,0.23,0.48,0.26,161,Low,23,34,,
V0073,CVE-2025-1073,P073,Security Patch 73,A020,Asset 20,Cloud,Web,6.9,0.66,1,1,5,4,5,0,1.8,3450.51,0.6,0.6,0.23,0.47,0.6,279,High,27,2,,
V0074,CVE-2025-1074,P074,Security Patch 74,A057,Asset 57,CRM,Web,4.1,0.88,1,0,1,5,3,1,0.8,2061.97,1.2,0.96,0.2,0.49,0.05,56,Medium,30,22,,
V0075,CVE-2025-1075,P075,Security Patch 75,A044,Asset 44,Endpoints,API,4.7,0.85,1,1,5,2,5,0,3.5,4277.31,2.6,0.95,0.25,0.26,0.38,340,Critical,37,5,,
V0076,CVE-2025-1076,P076,Security Patch 76,A027,Asset 27,ERP,Web,7.9,0.8,1,0,3,2,4,1,3.5,3671.35,4.6,0.59,0.05,0.12,0.27,93,High,21,4,,
V0077,CVE-2025-1077,P077,Security Patch 77,A015,Asset 15,ERP,API,4.5,0.59,1,0,2,5,4,0,5.8,1382.17,4.0,0.69,0.22,0.52,0.22,215,Critical,32,56,P032,
V0078,CVE-2025-1078,P078,Security Patch 78,A024,Asset 24,Endpoints,Auth,4.0,0.98,0,0,2,1,3,0,4.7,3167.57,5.5,0.88,0.33,0.56,0.09,123,Medium,13,56,P055,
V0079,CVE-2025-1079,P079,Security Patch 79,A035,Asset 35,Cloud,Gateway,5.8,0.98,0,0,3,1,3,1,1.7,1416.5,1.1,0.9,0.33,0.12,0.42,367,Low,33,9,,
V0080,CVE-2025-1080,P080,Security Patch 80,A065,Asset 65,DataLake,API,7.1,0.32,1,0,4,3,5,1,2.7,3506.92,2.8,0.74,0.21,0.63,0.37,288,High,20,40,,
V0081,CVE-2025-1081,P081,Security Patch 81,A006,Asset 6,DataLake,Payment,8.1,0.51,0,0,2,1,4,1,5.4,5279.57,5.7,0.83,0.17,0.58,0.11,50,Critical,44,42,,
V0082,CVE-2025-1082,P082,Security Patch 82,A042,Asset 42,DataLake,Database,7.3,0.21,1,0,1,2,5,0,3.1,1624.99,4.0,0.94,0.1,0.1,0.55,317,Critical,13,29,,
V0083,CVE-2025-1083,P083,Security Patch 83,A038,Asset 38,Endpoints,Auth,9.3,0.42,0,0,1,5,5,0,7.1,4470.5,0.9,0.59,0.2,0.39,0.5,201,Medium,12,41,,P082
