vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A019,Asset 19,DataLake,Web,4.7,0.54,0,1,1,1,2,1,2.8,540.05,4.0,0.61,0.41,0.14,0.26,273,Low,35,42,,
V0002,CVE-2025-1002,P002,Security Patch 2,A004,Asset 4,Cloud,Database,4.3,0.37,1,1,4,4,1,1,5.4,2485.29,5.4,0.64,0.18,0.64,0.19,126,Medium,37,59,P001,
V0003,CVE-2025-1003,P003,Security Patch 3,A027,Asset 27,CRM,API,5.6,0.6,0,0,5,3,1,0,1.2,3943.33,4.9,0.59,0.17,0.33,0.51,369,Medium,6,52,,
V0004,CVE-2025-1004,P004,Security Patch 4,A032,Asset 32,Endpoints,Web,7.4,0.48,0,1,4,4,5,0,7.3,951.52,3.2,0.96,0.34,0.65,0.54,158,High,34,20,,P001
V0005,CVE-2025-1005,P005,Security Patch 5,A013,Asset 13,OT,Payment,6.7,0.8,0,0,2,4,4,0,4.2,1488.03,2.7,0.64,0.14,0.36,0.68,289,Medium,7,50,P002,
V0006,CVE-2025-1006,P006,Security Patch 6,A019,Asset 19,CRM,Database,4.7,0.93,1,0,4,5,4,0,3.7,4455.74,2.4,0.76,0.15,0.47,0.22,295,Medium,35,36,,P001
V0007,CVE-2025-1007,P007,Security Patch 7,A031,Asset 31,ERP,Auth,6.4,0.59,0,0,3,2,3,0,7.4,4868.82,3.6,0.6,0.35,0.42,0.65,272,High,33,22,,
V0008,CVE-2025-1008,P008,Security Patch 8,A007,Asset 7,OT,Web,6.7,0.83,0,1,5,4,2,1,3.2,5284.57,2.7,0.87,0.03,0.14,0.44,256,High,8,34,,
V0009,CVE-2025-1009,P009,Security Patch 9,A013,Asset 13,DataLake,Web,5.9,0.3,1,0,4,2,3,0,3.2,1357.46,4.3,0.65,0.17,0.58,0.11,255,Low,23,9,,
V0010,CVE-2025-1010,P010,Security Patch 10,A012,Asset 12,CRM,Auth,8.8,0.21,0,0,1,3,4,0,7.3,967.9,2.6,0.97,0.34,0.39,0.33,22,Low,34,59,P006,
V0011,CVE-2025-1011,P011,Security Patch 11,A033,Asset 33,Endpoints,Auth,5.3,0.32,1,0,4,4,3,0,4.9,916.48,5.5,0.68,0.39,0.16,0.21,331,High,6,37,,
V0012,CVE-2025-1012,P012,Security Patch 12,A006,Asset 6,OT,Gateway,9.8,0.5,1,0,2,1,2,1,1.6,645.24,2.8,0.88,0.37,0.47,0.16,106,High,36,15,P002,
V0013,CVE-2025-1013,P013,Security Patch 13,A021,Asset 21,OT,Web,9.3,0.67,0,0,1,3,3,1,1.0,3988.74,2.4,0.68,0.06,0.16,0.62,384,Low,38,26,,
V0014,CVE-2025-1014,P014,Security Patch 14,A032,Asset 32,ERP,API,5.6,0.42,1,0,1,4,2,0,4.7,3887.23,5.5,0.95,0.38,0.55,0.49,69,High,16,40,P004,
V0015,CVE-2025-1015,P015,Security Patch 15,A031,Asset 31,Cloud,Database,6.9,0.38,0,1,4,2,3,1,6.3,2585.66,5.6,0.93,0.06,0.07,0.51,141,High,41,18,,
V0016,CVE-2025-1016,P016,Security Patch 16,A008,Asset 8,OT,Payment,8.4,0.47,0,0,4,4,5,0,1.2,5169.78,4.4,0.62,0.22,0.23,0.26,337,Medium,15,20,,
V0017,CVE-2025-1017,P017,Security Patch 17,A031,Asset 31,Cloud,Payment,9.0,0.36,1,1,2,5,3,1,3.8,4182.6,1.0,0.89,0.22,0.33,0.32,32,High,26,22,,
V0018,CVE-2025-1018,P018,Security Patch 18,A017,Asset 17,CRM,Web,9.0,0.56,1,0,4,5,4,0,2.0,3975.43,5.2,0.86,0.32,0.6,0.18,345,Critical,27,41,,P006
V0019,CVE-2025-1019,P019,Security Patch 19,A009,Asset 9,CRM,Database,5.3,0.18,0,0,2,1,2,0,1.3,341.88,1.0,0.79,0.08,0.38,0.15,410,High,35,51,P003,
V0020,CVE-2025-1020,P020,Security Patch 20,A033,Asset 33,Cloud,Gateway,5.5,0.28,1,0,3,1,3,0,3.1,2509.3,3.0,0.82,0.02,0.36,0.14,352,Medium,34,49,,P008
