vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A005,Asset 5,ERP,Database,8.9,0.4,0,0,3,2,5,0,7.5,1523.24,1.1,0.72,0.33,0.37,0.7,294,Critical,27,55,,
V0002,CVE-2025-1002,P002,Security Patch 2,A007,Asset 7,Cloud,Gateway,9.4,0.27,0,1,4,2,4,0,1.4,846.81,3.4,0.78,0.24,0.64,0.74,304,Medium,41,4,P001,
V0003,CVE-2025-1003,P003,Security Patch 3,A009,Asset 9,DataLake,Auth,7.6,0.72,1,1,4,1,2,1,4.4,5044.67,2.4,0.84,0.29,0.22,0.44,100,High,44,51,P001,
V0004,CVE-2025-1004,P004,Security Patch 4,A011,Asset 11,DataLake,Web,8.7,0.46,0,1,2,2,5,1,2.6,3797.09,2.1,0.71,0.35,0.12,0.08,264,Low,38,59,,
V0005,CVE-2025-1005,P005,Security Patch 5,A010,Asset 10,CRM,Gateway,7.1,0.25,1,0,2,5,4,1,5.1,4666.99,1.0,0.96,0.05,0.47,0.31,257,High,25,14,,
V0006,CVE-2025-1006,P006,Security Patch 6,A008,Asset 8,Endpoints,Auth,8.7,0.43,1,0,5,4,1,1,4.3,1791.38,1.4,0.62,0.2,0.37,0.26,131,Low,12,28,P001,
V0007,CVE-2025-1007,P007,Security Patch 7,A003,Asset 3,OT,Payment,6.0,0.64,1,0,3,3,3,0,0.9,2173.13,1.3,0.66,0.28,0.45,0.49,346,Medium,16,51,,
V0008,CVE-2025-1008,P008,Security Patch 8,A004,Asset 4,OT,Auth,5.6,0.34,1,0,4,2,1,1,3.9,2752.41,4.9,0.63,0.27,0.36,0.21,331,Medium,24,23,,
V0009,CVE-2025-1009,P009,Security Patch 9,A001,Asset 1,OT,Web,9.0,0.4,0,0,5,2,2,1,4.1,4334.27,3.2,0.84,0.08,0.09,0.64,345,High,26,22,P001,
V0010,CVE-2025-1010,P010,Security Patch 10,A001,Asset 1,OT,Payment,8.2,0.95,0,0,3,1,3,1,1.4,5466.24,1.4,0.78,0.05,0.08,0.58,38,Medium,31,21,,
V0011,CVE-2025-1011,P011,Security Patch 11,A005,Asset 5,Endpoints,Database,8.5,0.67,1,1,1,3,4,0,5.1,1856.18,3.8,0.7,0.29,0.06,0.73,128,Medium,26,26,,
V0012,CVE-2025-1012,P012,Security Patch 12,A005,Asset 5,DataLake,Gateway,6.9,0.56,1,0,3,2,5,0,5.5,1559.8,3.2,0.94,0.26,0.21,0.16,189,High,11,21,,
V0013,CVE-2025-1013,P013,Security Patch 13,A005,Asset 5,DataLake,Gateway,8.1,0.57,0,0,5,1,1,0,1.2,520.0,4.7,0.8,0.27,0.43,0.36,253,Low,40,32,P005,
V0014,CVE-2025-1014,P014,Security Patch 14,A005,Asset 5,DataLake,Database,8.1,0.32,0,0,5,4,4,1,6.6,3568.35,3.8,0.62,0.33,0.5,0.24,54,Low,12,41,,
V0015,CVE-2025-1015,P015,Security Patch 15,A005,Asset 5,DataLake,Web,8.6,0.29,0,0,1,3,2,0,3.3,5033.67,1.3,0.8,0.2,0.62,0.66,47,Medium,24,18,P002,
V0016,CVE-2025-1016,P016,Security Patch 16,A007,Asset 7,ERP,Web,9.5,0.78,0,0,3,5,4,1,2.3,4340.05,4.9,0.97,0.27,0.57,0.24,162,Medium,41,27,,P013
V0017,CVE-2025-1017,P017,Security Patch 17,A010,Asset 10,ERP,Gateway,5.0,0.69,1,1,5,3,4,0,1.3,1969.54,3.2,0.58,0.25,0.35,0.44,299,High,44,34,P003,
V0018,CVE-2025-1018,P018,Security Patch 18,A005,Asset 5,CRM,Web,5.2,0.83,1,1,4,2,5,1,6.0,1382.83,1.8,0.83,0.03,0.26,0.63,214,Low,42,14,,
V0019,CVE-2025-1019,P019,Security Patch 19,A006,Asset 6,OT,Database,5.5,0.77,1,0,5,5,4,0,5.2,1567.1,2.9,0.75,0.09,0.59,0.19,135,Medium,16,58,P013,
V0020,CVE-2025-1020,P020,Security Patch 20,A008,Asset 8,ERP,Database,6.4,0.95,0,0,4,4,5,0,1.2,3371.11,5.7,0.64,0.26,0.09,0.35,319,High,6,26,,
V0021,CVE-2025-1021,P021,Security Patch 21,A002,Asset 2,Endpoints,Web,6.2,0.89,0,0,1,3,3,0,5.2,2600.27,3.9,0.8,0.18,0.36,0.44,288,High,11,43,,
V0022,CVE-2025-1022,P022,Security Patch 22,A011,Asset 11,DataLake,Gateway,8.2,0.86,1,1,1,1,5,0,2.7,1842.53,0.9,0.71,0.2,0.21,0.11,215,Low,44,2,,
V0023,CVE-2025-1023,P023,Security Patch 23,A007,Asset 7,OT,Gateway,6.0,0.64,0,1,5,4,4,0,6.7,1648.95,1.0,0.78,0.04,0.63,0.64,190,Medium,12,55,P002,
