vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A006,Asset 6,Cloud,Gateway,7.0,0.76,1,1,3,1,3,0,1.7,4537.03,1.8,0.67,0.04,0.11,0.55,50,Critical,21,16,,
V0002,CVE-2025-1002,P002,Security Patch 2,A028,Asset 28,ERP,Auth,5.7,0.92,1,1,5,4,4,0,6.7,822.99,2.1,0.82,0.07,0.32,0.15,153,Low,16,20,P001,
V0003,CVE-2025-1003,P003,Security Patch 3,A039,Asset 39,OT,Gateway,4.8,0.7,1,0,1,1,3,1,2.9,1540.55,4.2,0.79,0.12,0.34,0.32,316,Low,32,53,,
V0004,CVE-2025-1004,P004,Security Patch 4,A044,Asset 44,ERP,Database,9.8,0.87,0,1,2,3,5,1,1.8,5158.76,4.5,0.68,0.32,0.21,0.2,180,High,13,34,P001,
V0005,CVE-2025-1005,P005,Security Patch 5,A002,Asset 2,Cloud,Gateway,7.3,0.92,1,0,5,5,3,0,1.8,1433.87,3.3,0.63,0.28,0.56,0.61,212,Medium,13,29,,
V0006,CVE-2025-1006,P006,Security Patch 6,A033,Asset 33,DataLake,Database,4.8,0.4,1,0,5,1,5,1,5.1,3096.21,1.3,0.97,0.06,0.52,0.46,254,High,37,45,,
V0007,CVE-2025-1007,P007,Security Patch 7,A014,Asset 14,Cloud,Auth,9.1,0.31,0,0,5,5,4,1,0.6,796.34,1.9,0.85,0.25,0.25,0.39,58,Low,29,41,P001,
V0008,CVE-2025-1008,P008,Security Patch 8,A002,Asset 2,CRM,Payment,4.7,0.51,0,0,5,5,1,0,4.1,3091.01,5.6,0.96,0.25,0.56,0.32,22,Low,33,32,,
V0009,CVE-2025-1009,P009,Security Patch 9,A049,Asset 49,CRM,Auth,9.6,0.85,1,0,2,2,1,0,4.4,3086.42,5.4,0.59,0.39,0.19,0.32,226,Critical,40,31,P005,
V0010,CVE-2025-1010,P010,Security Patch 10,A024,Asset 24,CRM,Gateway,8.1,0.26,0,1,2,2,5,0,7.4,2282.56,4.7,0.7,0.12,0.45,0.19,209,High,9,45,,
V0011,CVE-2025-1011,P011,Security Patch 11,A006,Asset 6,Endpoints,Web,6.2,0.43,0,1,3,4,4,0,1.1,5179.36,2.5,0.78,0.23,0.44,0.73,264,Critical,34,19,,
V0012,CVE-2025-1012,P012,Security Patch 12,A027,Asset 27,ERP,API,7.6,0.24,0,0,3,5,3,0,3.5,4397.66,4.3,0.87,0.12,0.38,0.35,393,High,6,36,,
V0013,CVE-2025-1013,P013,Security Patch 13,A003,Asset 3,ERP,Auth,5.3,0.53,0,0,4,3,2,0,4.3,3083.55,4.7,0.94,0.37,0.09,0.64,363,High,8,0,,
V0014,CVE-2025-1014,P014,Security Patch 14,A012,Asset 12,Endpoints,API,5.9,0.37,1,0,1,4,5,0,2.4,4979.75,5.4,0.71,0.06,0.36,0.6,400,Low,14,21,,
V0015,CVE-2025-1015,P015,Security Patch 15,A019,Asset 19,OT,Database,7.7,0.74,0,0,1,3,1,1,1.0,3861.09,5.7,0.66,0.12,0.47,0.37,374,Medium,14,15,P007,
V0016,CVE-2025-1016,P016,Security Patch 16,A012,Asset 12,Endpoints,API,7.2,0.22,1,0,2,1,4,0,1.3,3736.7,0.5,0.76,0.05,0.25,0.12,374,Low,15,24,P013,
V0017,CVE-2025-1017,P017,Security Patch 17,A008,Asset 8,DataLake,Payment,7.7,0.22,0,0,2,2,3,0,2.2,2092.54,4.8,0.91,0.07,0.58,0.1,235,Medium,7,16,P006,
V0018,CVE-2025-1018,P018,Security Patch 18,A014,Asset 14,ERP,Web,6.5,0.38,1,0,5,2,5,0,5.9,4219.86,3.8,0.61,0.4,0.17,0.6,142,Low,43,39,P007,P006
V0019,CVE-2025-1019,P019,Security Patch 19,A029,Asset 29,Cloud,Gateway,9.0,0.93,0,1,5,3,2,0,3.2,1803.83,1.1,0.67,0.16,0.25,0.72,37,Medium,11,31,,
V0020,CVE-2025-1020,P020,Security Patch 20,A036,Asset 36,Cloud,Gateway,8.4,0.21,0,1,1,1,5,0,4.8,5269.55,3.0,0.67,0.33,0.54,0.06,38,High,33,33,P019,P008
V0021,CVE-2025-1021,P021,Security Patch 21,A008,Asset 8,DataLake,Database,7.1,0.4,1,0,5,4,4,0,6.2,885.94,5.2,0.76,0.4,0.26,0.16,3,Medium,30,56,P010,
V0022,CVE-2025-1022,P022,Security Patch 22,A014,Asset 14,Cloud,Database,5.4,0.2,1,1,2,2,1,0,4.4,4311.6,3.8,0.92,0.29,0.61,0.35,134,High,13,20,,P010
V0023,CVE-2025-1023,P023,Security Patch 23,A027,Asset 27,OT,API,6.0,0.88,1,1,5,4,5,1,3.8,455.32,4.7,0.6,0.34,0.51,0.69,226,Critical,26,42,,
V0024,CVE-2025-1024,P024,Security Patch 24,A039,Asset 39,DataLake,API,8.1,0.79,0,0,2,2,4,0,1.8,3329.02,2.5,0.66,0.41,0.31,0.37,407,Critical,22,43,,
V0025,CVE-2025-1025,P025,Security Patch 25,A017,Asset 17,Cloud,API,5.1,0.9,1,0,5,2,2,0,2.9,4951.66,1.6,0.86,0.04,0.2,0.29,85,Low,39,19,,
V0026,CVE-2025-1026,P026,Security Patch 26,A044,Asset 44,Endpoints,Auth,7.5,0.53,1,0,2,1,5,0,4.5,2120.93,5.0,0.58,0.08,0.43,0.13,390,Medium,9,55,P003,
V0027,CVE-2025-1027,P027,Security Patch 27,A018,Asset 18,CRM,Gateway,9.8,0.16,1,0,4,1,3,0,0.9,2100.32,3.3,0.88,0.24,0.43,0.19,257,Critical,32,29,P022,
V0028,CVE-2025-1028,P028,Security Patch 28,A042,Asset 42,Cloud,API,5.8,0.21,0,0,5,4,5,1,6.4,3796.43,5.3,0.9,0.12,0.62,0.33,165,Critical,25,34,P019,
V0029,CVE-2025-1029,P029,Security Patch 29,A050,Asset 50,Cloud,Web,6.4,0.21,1,0,1,3,1,0,3.0,2602.53,0.6,0.81,0.33,0.5,0.22,259,High,28,44,,
V0030,CVE-2025-1030,P030,Security Patch 30,A044,Asset 44,ERP,Payment,7.0,0.3,1,0,5,4,3,0,6.1,1987.25,0.8,0.87,0.18,0.38,0.7,121,Medium,5,35,,
V0031,CVE-2025-1031,P031,Security Patch 31,A036,Asset 36,Endpoints,Web,8.9,0.5,0,0,1,4,3,0,4.4,3585.2,4.4,0.74,0.24,0.37,0.05,45,Medium,16,34,,
