vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A012,Asset 12,DataLake,Web,5.3,0.25,1,0,4,2,4,1,5.0,4577.08,0.9,0.8,0.32,0.55,0.2,399,Medium,12,21,,
V0002,CVE-2025-1002,P002,Security Patch 2,A012,Asset 12,Endpoints,Database,7.3,0.37,0,1,3,5,5,1,1.8,2675.64,4.4,0.92,0.37,0.51,0.31,119,Medium,10,41,P001,
V0003,CVE-2025-1003,P003,Security Patch 3,A001,Asset 1,DataLake,Database,4.3,0.36,1,0,1,3,5,1,3.0,2223.41,3.9,0.77,0.07,0.35,0.57,189,Critical,12,58,,
V0004,CVE-2025-1004,P004,Security Patch 4,A014,Asset 14,Cloud,Auth,8.1,0.97,1,0,2,2,5,0,2.3,2313.75,4.9,0.94,0.41,0.52,0.55,305,Medium,16,47,P001,
V0005,CVE-2025-1005,P005,Security Patch 5,A014,Asset 14,Cloud,Gateway,6.4,0.67,0,0,3,1,5,0,3.9,1930.0,3.0,0.61,0.22,0.13,0.65,273,Medium,31,14,P002,
V0006,CVE-2025-1006,P006,Security Patch 6,A015,Asset 15,ERP,Auth,6.7,0.36,1,0,3,2,5,1,3.0,1589.24,4.9,0.84,0.32,0.23,0.17,186,Low,23,50,,
V0007,CVE-2025-1007,P007,Security Patch 7,A016,Asset 16,Endpoints,Database,9.4,0.83,1,1,5,3,3,0,1.7,2400.98,1.5,0.97,0.2,0.07,0.09,182,Medium,31,45,P004,
V0008,CVE-2025-1008,P008,Security Patch 8,A005,Asset 5,Endpoints,Database,7.5,0.82,1,1,1,5,1,1,4.9,1220.28,3.1,0.73,0.36,0.27,0.73,345,Critical,43,45,,
V0009,CVE-2025-1009,P009,Security Patch 9,A011,Asset 11,DataLake,Auth,5.6,0.53,1,1,2,5,4,1,6.4,5271.24,4.2,0.74,0.32,0.62,0.06,52,Critical,12,34,,
V0010,CVE-2025-1010,P010,Security Patch 10,A003,Asset 3,Endpoints,Web,4.9,0.19,1,1,1,4,4,0,1.9,4925.27,5.8,0.85,0.24,0.32,0.47,286,Low,32,28,P004,
