vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A019,Asset 19,ERP,Auth,4.4,0.96,1,1,5,4,5,0,4.2,908.54,4.8,0.62,0.06,0.34,0.18,55,Medium,32,6,,
V0002,CVE-2025-1002,P002,Security Patch 2,A037,Asset 37,OT,Auth,6.0,0.95,0,0,4,1,2,1,3.6,4980.42,4.8,0.67,0.34,0.27,0.06,235,High,37,59,,
V0003,CVE-2025-1003,P003,Security Patch 3,A009,Asset 9,CRM,Gateway,5.1,0.81,1,1,3,4,3,1,5.9,3513.0,3.7,0.73,0.26,0.1,0.57,358,Low,15,44,,
V0004,CVE-2025-1004,P004,Security Patch 4,A027,Asset 27,CRM,Auth,7.3,0.86,1,1,5,2,3,0,4.1,2388.92,1.5,0.73,0.11,0.61,0.08,354,Medium,5,3,P002,
V0005,CVE-2025-1005,P005,Security Patch 5,A037,Asset 37,Endpoints,API,5.3,0.83,1,0,4,4,5,1,5.8,2163.23,4.0,0.92,0.33,0.26,0.22,15,Critical,40,25,P001,
V0006,CVE-2025-1006,P006,Security Patch 6,A036,Asset 36,CRM,Payment,5.1,0.58,0,0,2,1,2,1,2.6,842.85,2.7,0.72,0.39,0.2,0.26,232,Critical,44,29,P004,P003
V0007,CVE-2025-1007,P007,Security Patch 7,A019,Asset 19,ERP,Web,5.6,0.29,1,0,2,5,5,0,5.5,5499.74,3.8,0.87,0.32,0.44,0.58,52,Critical,10,13,P001,
V0008,CVE-2025-1008,P008,Security Patch 8,A007,Asset 7,CRM,Web,8.0,0.53,0,0,3,3,1,1,3.7,3639.14,1.3,0.8,0.38,0.31,0.56,106,Low,41,15,,
V0009,CVE-2025-1009,P009,Security Patch 9,A060,Asset 60,OT,Database,4.3,0.29,0,0,4,2,1,0,3.6,1705.7,1.5,0.79,0.04,0.19,0.32,153,Medium,7,7,,
V0010,CVE-2025-1010,P010,Security Patch 10,A037,Asset 37,DataLake,API,9.1,0.79,0,0,5,5,5,0,5.2,3949.58,1.9,0.7,0.27,0.22,0.51,63,Low,28,58,P008,
V0011,CVE-2025-1011,P011,Security Patch 11,A039,Asset 39,ERP,Auth,7.4,0.41,1,1,3,3,2,0,2.9,1246.76,1.8,0.98,0.09,0.1,0.69,352,Medium,8,17,,
V0012,CVE-2025-1012,P012,Security Patch 12,A033,Asset 33,Endpoints,Payment,7.3,0.48,0,0,5,5,2,0,6.2,1046.12,2.7,0.96,0.32,0.51,0.35,250,Low,36,15,P002,
V0013,CVE-2025-1013,P013,Security Patch 13,A039,Asset 39,CRM,API,7.4,0.39,1,0,4,2,3,0,1.0,4356.73,5.9,0.79,0.35,0.16,0.56,19,High,24,13,P010,
V0014,CVE-2025-1014,P014,Security Patch 14,A031,Asset 31,OT,Gateway,4.2,0.42,1,0,5,5,5,1,6.6,2067.4,0.7,0.66,0.1,0.61,0.24,190,Medium,28,14,,
V0015,CVE-2025-1015,P015,Security Patch 15,A048,Asset 48,DataLake,Auth,7.6,0.53,1,1,5,3,5,1,6.9,1569.03,4.1,0.93,0.16,0.35,0.73,232,High,37,29,,
V0016,CVE-2025-1016,P016,Security Patch 16,A027,Asset 27,OT,Payment,5.0,0.22,0,0,3,4,2,0,6.4,2492.85,3.2,0.83,0.15,0.3,0.61,45,Low,14,23,,
V0017,CVE-2025-1017,P017,Security Patch 17,A008,Asset 8,Endpoints,API,4.8,0.63,1,0,3,5,1,0,6.2,5039.19,0.9,0.77,0.03,0.64,0.22,224,High,32,34,,
V0018,CVE-2025-1018,P018,Security Patch 18,A003,Asset 3,OT,Web,7.1,0.89,1,1,5,5,4,0,2.6,5420.48,0.7,0.93,0.13,0.54,0.56,318,Critical,37,50,P004,
V0019,CVE-2025-1019,P019,Security Patch 19,A031,Asset 31,CRM,Database,5.2,0.23,1,0,3,1,2,1,7.5,3061.18,0.8,0.79,0.03,0.49,0.52,295,High,43,11,P009,
V0020,CVE-2025-1020,P020,Security Patch 20,A007,Asset 7,Cloud,Gateway,7.2,0.15,1,0,4,4,1,1,5.8,1752.13,1.7,0.72,0.13,0.36,0.75,10,Medium,43,15,P010,
V0021,CVE-2025-1021,P021,Security Patch 21,A018,Asset 18,Endpoints,Gateway,5.7,0.2,0,1,3,1,4,0,2.7,2755.15,1.8,0.99,0.11,0.13,0.19,361,Medium,21,48,P008,
V0022,CVE-2025-1022,P022,Security Patch 22,A044,Asset 44,CRM,Gateway,7.9,0.4,0,0,1,3,1,0,5.2,2767.06,3.9,0.94,0.38,0.38,0.41,219,Low,5,52,P003,
V0023,CVE-2025-1023,P023,Security Patch 23,A044,Asset 44,CRM,Web,9.0,0.83,0,0,1,1,5,1,4.4,275.51,5.0,0.61,0.16,0.19,0.68,193,Critical,34,34,,
V0024,CVE-2025-1024,P024,Security Patch 24,A012,Asset 12,OT,API,6.1,0.23,1,0,4,2,2,1,5.7,3920.34,0.5,0.84,0.28,0.58,0.37,342,High,5,18,,P006
V0025,CVE-2025-1025,P025,Security Patch 25,A032,Asset 32,Endpoints,API,8.8,0.82,0,0,5,5,4,1,4.3,748.25,4.3,0.68,0.23,0.29,0.42,255,Medium,29,57,P001,P017
V0026,CVE-2025-1026,P026,Security Patch 26,A051,Asset 51,DataLake,Payment,9.8,0.71,1,0,3,3,3,0,7.0,1551.6,2.8,0.75,0.13,0.61,0.28,312,Medium,18,25,,
V0027,CVE-2025-1027,P027,Security Patch 27,A025,Asset 25,DataLake,Gateway,5.9,0.7,0,0,3,1,4,1,4.1,5157.56,3.8,0.71,0.2,0.57,0.45,11,Critical,15,4,,
V0028,CVE-2025-1028,P028,Security Patch 28,A050,Asset 50,DataLake,API,4.2,0.26,1,1,2,4,2,1,1.0,5062.76,3.1,0.75,0.34,0.06,0.1,205,Low,32,54,P023,
V0029,CVE-2025-1029,P029,Security Patch 29,A041,Asset 41,Endpoints,Gateway,6.9,0.36,0,1,3,3,5,1,1.6,1317.67,4.7,0.79,0.14,0.54,0.28,120,Critical,43,23,,
V0030,CVE-2025-1030,P030,Security Patch 30,A059,Asset 59,Cloud,Web,5.5,0.22,0,0,3,4,4,1,5.0,3131.48,4.5,0.91,0.26,0.56,0.41,342,High,37,35,,
V0031,CVE-2025-1031,P031,Security Patch 31,A041,Asset 41,ERP,Auth,7.3,0.55,0,0,3,2,5,0,4.2,3559.58,5.3,0.79,0.2,0.15,0.58,127,High,15,12,,
V0032,CVE-2025-1032,P032,Security Patch 32,A048,Asset 48,DataLake,Auth,4.7,0.66,0,0,5,5,2,0,3.4,2669.84,5.5,0.92,0.1,0.6,0.44,181,High,39,48,,
V0033,CVE-2025-1033,P033,Security Patch 33,A010,Asset 10,ERP,Database,9.0,0.35,0,0,1,1,1,1,3.1,1391.76,2.7,0.9,0.2,0.16,0.06,398,Low,34,18,,
V0034,CVE-2025-1034,P034,Security Patch 34,A044,Asset 44,ERP,Gateway,7.4,0.21,1,0,2,4,4,0,1.0,724.78,5.4,0.64,0.34,0.28,0.15,383,High,22,37,,
V0035,CVE-2025-1035,P035,Security Patch 35,A009,Asset 9,OT,Auth,9.1,0.58,0,0,2,3,2,0,5.4,2952.23,1.4,0.9,0.15,0.23,0.1,134,High,24,15,P008,
V0036,CVE-2025-1036,P036,Security Patch 36,A051,Asset 51,DataLake,Payment,6.2,0.87,1,0,5,5,1,0,3.2,2005.29,1.2,0.99,0.4,0.43,0.16,76,High,43,48,,
V0037,CVE-2025-1037,P037,Security Patch 37,A004,Asset 4,Cloud,Payment,5.6,0.73,1,1,2,5,3,0,4.2,2850.36,3.1,0.71,0.23,0.52,0.22,34,Medium,21,5,,
V0038,CVE-2025-1038,P038,Security Patch 38,A029,Asset 29,OT,Web,7.1,0.8,0,0,1,2,3,0,7.4,3256.35,2.6,0.79,0.18,0.59,0.46,69,Low,18,49,,
V0039,CVE-2025-1039,P039,Security Patch 39,A039,Asset 39,Cloud,Web,4.8,0.23,0,0,3,1,5,1,7.0,3753.89,3.4,0.6,0.24,0.48,0.56,299,Medium,7,20,P032,P038
V0040,CVE-2025-1040,P040,Security Patch 40,A053,Asset 53,DataLake,Auth,9.1,0.74,0,0,5,5,1,1,4.5,2545.94,5.2,0.62,0.04,0.18,0.29,281,Medium,42,52,,
V0041,CVE-2025-1041,P041,Security Patch 41,A018,Asset 18,CRM,Web,5.6,0.5,1,0,3,2,2,0,4.9,5117.97,1.3,0.98,0.37,0.46,0.13,210,Critical,42,1,P003,
V0042,CVE-2025-1042,P042,Security Patch 42,A030,Asset 30,DataLake,Web,4.6,0.79,0,0,2,5,3,1,7.0,2242.98,4.8,0.67,0.26,0.54,0.23,257,Medium,13,27,,
V0043,CVE-2025-1043,P043,Security Patch 43,A043,Asset 43,DataLake,API,6.6,0.61,1,0,1,1,2,1,7.2,4372.66,3.4,0.93,0.16,0.36,0.74,200,High,42,29,,
V0044,CVE-2025-1044,P044,Security Patch 44,A018,Asset 18,Endpoints,API,9.9,0.89,1,0,3,1,3,1,2.5,2324.58,2.2,0.98,0.39,0.36,0.33,12,Low,38,46,P003,
V0045,CVE-2025-1045,P045,Security Patch 45,A045,Asset 45,DataLake,Auth,8.6,0.19,0,0,3,2,5,0,1.6,2676.26,5.0,0.91,0.03,0.61,0.37,117,Critical,19,5,P044,
V0046,CVE-2025-1046,P046,Security Patch 46,A048,Asset 48,OT,Auth,4.1,0.67,1,1,4,1,3,0,5.5,275.9,5.9,0.89,0.04,0.44,0.26,49,Critical,22,19,,
V0047,CVE-2025-1047,P047,Security Patch 47,A030,Asset 30,ERP,Database,4.0,0.89,1,0,4,1,4,1,3.7,4139.68,4.6,0.6,0.22,0.28,0.26,327,Low,41,47,,P006
V0048,CVE-2025-1048,P048,Security Patch 48,A016,Asset 16,OT,Database,9.3,0.83,1,1,5,4,5,1,2.6,2836.61,2.2,0.63,0.16,0.51,0.46,97,High,31,31,P034,
V0049,CVE-2025-1049,P049,Security Patch 49,A014,Asset 14,CRM,Web,6.6,0.42,0,0,5,4,4,1,3.9,2697.79,1.4,0.79,0.3,0.1,0.51,99,High,21,44,,
V0050,CVE-2025-1050,P050,Security Patch 50,A045,Asset 45,ERP,Database,8.6,0.31,1,0,3,3,5,1,4.7,1594.19,2.4,0.96,0.11,0.4,0.58,283,Critical,14,58,,
V0051,CVE-2025-1051,P051,Security Patch 51,A045,Asset 45,Cloud,Database,6.1,0.87,0,0,1,4,2,1,3.7,2258.03,2.5,0.92,0.3,0.37,0.35,172,High,25,5,,
V0052,CVE-2025-1052,P052,Security Patch 52,A049,Asset 49,Cloud,Web,6.9,0.22,1,1,2,1,2,1,7.4,5421.41,4.0,0.85,0.36,0.27,0.6,174,High,23,44,P050,
V0053,CVE-2025-1053,P053,Security Patch 53,A019,Asset 19,CRM,API,7.0,0.74,1,0,2,4,5,1,2.0,4461.82,3.7,0.98,0.32,0.08,0.5,193,Low,33,0,,
