vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A014,Asset 14,Endpoints,Payment,8.4,0.88,1,0,5,3,4,1,2.5,4658.8,1.7,0.74,0.19,0.23,0.3,418,High,15,19,,
V0002,CVE-2025-1002,P002,Security Patch 2,A012,Asset 12,ERP,Payment,8.5,0.84,1,1,3,2,4,1,2.1,2173.29,2.4,0.67,0.41,0.4,0.68,294,Medium,18,53,,
V0003,CVE-2025-1003,P003,Security Patch 3,A005,Asset 5,CRM,API,9.9,0.73,0,0,4,1,4,0,6.1,4609.01,3.5,0.83,0.36,0.12,0.53,370,Medium,18,12,,
V0004,CVE-2025-1004,P004,Security Patch 4,A011,Asset 11,DataLake,Web,4.1,0.52,1,0,2,5,4,0,1.8,1987.07,5.9,0.84,0.39,0.24,0.39,60,Low,30,9,,
V0005,CVE-2025-1005,P005,Security Patch 5,A005,Asset 5,Cloud,Web,5.0,0.89,0,0,5,5,4,1,3.3,2095.34,4.8,0.87,0.22,0.18,0.69,60,High,38,39,P004,
V0006,CVE-2025-1006,P006,Security Patch 6,A020,Asset 20,Endpoints,Web,9.9,0.68,1,0,4,1,4,0,2.8,389.06,2.7,0.72,0.11,0.59,0.4,310,Critical,19,25,,
V0007,CVE-2025-1007,P007,Security Patch 7,A020,Asset 20,OT,Auth,5.9,0.9,1,1,4,5,5,0,7.1,2146.18,2.7,0.71,0.15,0.13,0.71,22,High,40,17,,
V0008,CVE-2025-1008,P008,Security Patch 8,A019,Asset 19,CRM,Payment,6.0,0.83,0,0,4,4,5,1,7.4,4394.16,3.3,0.83,0.35,0.06,0.24,206,Critical,26,19,P004,
V0009,CVE-2025-1009,P009,Security Patch 9,A005,Asset 5,CRM,Web,6.6,0.68,1,0,4,1,4,0,7.2,3741.11,4.1,0.82,0.28,0.58,0.53,376,Critical,27,32,,
V0010,CVE-2025-1010,P010,Security Patch 10,A004,Asset 4,Endpoints,API,9.6,0.7,0,1,5,5,3,1,4.0,1444.34,5.7,0.61,0.27,0.39,0.34,224,Low,31,28,,P005
