vuln_id,cve_id,patch_id,patch_name,asset_id,asset_name,system_group,service_name,cvss,exploit_probability,exploit_available,active_exploitation,asset_criticality,data_sensitivity,exposure_level,internet_facing,patch_time,patch_cost,manpower_required,remediation_effectiveness,patch_failure_risk,disruption_impact,rollback_complexity,age_days,severity_label,sla_deadline_days,days_open,dependencies,conflicts
V0001,CVE-2025-1001,P001,Security Patch 1,A047,Asset 47,Cloud,Payment,8.4,0.43,0,1,5,5,1,1,4.3,5496.9,5.9,0.79,0.29,0.17,0.58,417,Critical,34,57,,
V0002,CVE-2025-1002,P002,Security Patch 2,A053,Asset 53,OT,Auth,7.2,0.24,0,0,4,4,5,1,2.5,4963.97,4.3,0.91,0.15,0.16,0.4,8,Medium,9,15,P001,
V0003,CVE-2025-1003,P003,Security Patch 3,A081,Asset 81,DataLake,Payment,4.1,0.82,1,1,3,4,3,1,6.5,1938.46,5.5,0.64,0.13,0.51,0.64,149,High,34,11,,P002
V0004,CVE-2025-1004,P004,Security Patch 4,A001,Asset 1,DataLake,Auth,8.2,0.98,1,0,5,4,5,1,4.2,1394.31,4.5,0.91,0.07,0.11,0.66,67,Critical,26,17,,
V0005,CVE-2025-1005,P005,Security Patch 5,A021,Asset 21,OT,Gateway,5.1,0.89,1,1,4,1,3,0,4.4,803.83,2.2,0.94,0.36,0.43,0.48,76,Low,33,48,,
V0006,CVE-2025-1006,P006,Security Patch 6,A007,Asset 7,OT,Web,8.2,0.68,0,0,1,3,5,1,2.3,4885.71,4.5,0.58,0.26,0.13,0.61,410,Critical,15,8,,
V0007,CVE-2025-1007,P007,Security Patch 7,A035,Asset 35,OT,Payment,6.4,0.32,0,1,1,1,2,1,5.5,3472.06,4.7,0.76,0.17,0.6,0.23,368,Critical,29,44,P002,
V0008,CVE-2025-1008,P008,Security Patch 8,A014,Asset 14,OT,API,8.3,0.74,1,0,1,2,3,1,3.8,1170.46,3.6,0.61,0.38,0.52,0.4,253,High,32,54,P004,
V0009,CVE-2025-1009,P009,Security Patch 9,A025,Asset 25,ERP,Gateway,6.0,0.66,0,1,3,4,1,1,3.8,318.33,3.6,0.7,0.11,0.26,0.15,18,Low,28,45,P008,
V0010,CVE-2025-1010,P010,Security Patch 10,A045,Asset 45,Cloud,Payment,4.5,0.82,0,0,3,2,1,1,4.8,4758.42,5.2,0.68,0.14,0.21,0.63,228,Medium,10,54,,P004
V0011,CVE-2025-1011,P011,Security Patch 11,A026,Asset 26,Cloud,Payment,4.9,0.46,1,0,5,3,2,0,4.3,3817.7,4.7,0.67,0.39,0.38,0.42,63,Critical,9,57,,
V0012,CVE-2025-1012,P012,Security Patch 12,A020,Asset 20,CRM,Gateway,5.4,0.59,0,1,5,5,1,0,2.5,3000.54,4.7,0.76,0.3,0.62,0.33,192,High,28,57,,P010
